Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0805_2012Metric,59.1,-62.7,0,top
C2,22u,C_1206_3216Metric,59.7,-69.1,180,top
C10,100n,C_0402_1005Metric,76.6,-56.3,0,top
C11,100n,C_0402_1005Metric,69.4,-53,90,top
C12,100n,C_0402_1005Metric,58.74,-49.7,180,top
C13,100n,C_0402_1005Metric,65.9,-53,-90,top
C14,4.7u,C_0603_1608Metric,65,-63.6,180,top
C15,100n,C_0402_1005Metric,65.3,-64.8,180,top
C16,100n,C_0402_1005Metric,65.7,-62.3,0,top
C17,15p,C_0402_1005Metric,64.5,-69.3,180,top
C18,15p,C_0402_1005Metric,64.5,-66.1,0,top
C19,100n,C_0402_1005Metric,67.5,-69.3,-90,top
C20,22u,C_1206_3216Metric,46.3,-68.2,-90,top
C22,22u,C_1206_3216Metric,46.3,-63.6,90,top
C23,100n,C_0402_1005Metric,51.4,-65.95,90,top
C24,47p,C_0402_1005Metric,52.2,-70.1,180,top
C25,22u,C_1206_3216Metric,55.35,-66.25,-90,top
C26,22u,C_1206_3216Metric,53.05,-66.25,-90,top
D1,LED_B,LED_0603_1608Metric,61.6,-66.4,-90,top
D4,LED_B,LED_0603_1608Metric,77.2,-69,180,top
D5,LED_B,LED_0603_1608Metric,46.6,-58.5,90,top
F1,Fuse,CMP-0026,35.0549,-62,-90,top
J1,S20B-PADSS-1,CMP-0012,40,-30,0,top
J2,S20B-PADSS-1,CMP-0012,79.8,-48,180,top
J3,SWD,CMP-0053,84.56,-62.02,0,top
L2,8.2u,CMP-0058,51.9,-60.4,0,top
R1,100,R_0402_1005Metric,61.3,-63.9,-90,top
R5,120,R_1206_3216Metric,73.6,-45.3,0,top
R6,120,R_1206_3216Metric,73.6,-47.6,0,top
R7,0,R_0402_1005Metric,74.1,-56.8,-90,top
R8,10k,R_0402_1005Metric,76.6,-49.7,0,top
R9,0,R_0402_1005Metric,66.4,-51.1,0,top
R10,10k,R_0402_1005Metric,59.7,-56.3,0,top
R11,0,R_0402_1005Metric,42.6,-41,180,top
R12,0,R_0402_1005Metric,77.2,-43,180,top
R13,0,R_0402_1005Metric,42.6,-40,180,top
R14,0,R_0402_1005Metric,77.2,-42,180,top
R15,0,R_0402_1005Metric,77.2,-41,180,top
R16,510k,R_0402_1005Metric,48.4,-68.55,0,top
R17,0,R_0402_1005Metric,77.2,-40,180,top
R18,100k,R_0402_1005Metric,50.3,-68.55,0,top
R19,470,R_0402_1005Metric,46.3,-60.8,180,top
R20,5.1k,R_0402_1005Metric,48.4,-69.6,180,top
R21,0,R_0402_1005Metric,42.6,-43,180,top
R22,0,R_0402_1005Metric,42.6,-42,180,top
R23,0,R_0402_1005Metric,70.5,-59,90,top
R24,0,R_0402_1005Metric,69.5,-59,90,top
R25,0,R_0402_1005Metric,73.5,-59,-90,top
R26,0,R_0402_1005Metric,72.5,-59,-90,top
R27,100,R_0402_1005Metric,76.6,-70.2,0,top
R28,39k,R_0402_1005Metric,52.2,-69.1,180,top
SW1,SPST,CMP-0011,85.8,-55.4,0,top
U1,XC6206P33,CMP-0019,59.1,-65.8,90,top
U3,MCP2558FD,SOIC-8_3.9x4.9mm_P1.27mm,73.6,-53,0,top
U4,MCP2558FD,SOIC-8_3.9x4.9mm_P1.27mm,61.7,-53,180,top
U5,STM32G0B1,LQFP-48_7x7mm_P0.5mm,71.9,-65.1,0,top
U6,TPS54302,SOT-23-6,49.2,-66,-90,top
Y1,40M,CMP-0004,64.5,-67.7,-90,top
